,CUSEC,Municipality,Province,CCAA,Shape_area,Total_Population,Number_Males,Number_Females,Number_Minors,Number_Adults,Number_Elderlies,No_studies,Middle_studies,Complete_studies,Minors_NoInformation,Population_Density,Average_Income,Spanish_Nationality_People,Foreign_Nationality_People,Number_Properties,Number_Homes
5105,1_41_59_1_8,Mairena del Aljarafe,Sevilla,Andalucía,600188.35,2230.0,0.54,0.45,0.12,0.81,0.07,0.01,0.42,0.45,0.12,3715.5,44889.0,0.97,0.03,920.0,0.83
5106,1_41_59_1_9,Mairena del Aljarafe,Sevilla,Andalucía,232476.12,2340.0,0.54,0.46,0.2,0.75,0.04,0.07,0.55,0.18,0.2,10065.6,29252.0,1.0,0.0,1230.0,0.73
5107,1_41_59_1_10,Mairena del Aljarafe,Sevilla,Andalucía,92771.44,995.0,0.45,0.55,0.14,0.79,0.07,0.05,0.59,0.23,0.14,10725.3,37718.0,0.98,0.02,500.0,0.67
5108,1_41_59_1_11,Mairena del Aljarafe,Sevilla,Andalucía,1906473.95,1930.0,0.43,0.57,0.23,0.69,0.08,0.01,0.44,0.32,0.23,1012.3,34922.0,0.94,0.06,1505.0,0.43
5109,1_41_59_1_12,Mairena del Aljarafe,Sevilla,Andalucía,101778.56,1370.0,0.51,0.49,0.09,0.77,0.13,0.08,0.57,0.26,0.09,13460.6,37199.0,0.9,0.1,445.0,1.0
5110,1_41_59_1_13,Mairena del Aljarafe,Sevilla,Andalucía,64469.94,830.0,0.56,0.44,0.22,0.68,0.1,0.1,0.61,0.07,0.22,12874.2,21978.0,1.0,0.0,295.0,0.92
5111,1_41_59_1_14,Mairena del Aljarafe,Sevilla,Andalucía,129365.86,860.0,0.47,0.53,0.18,0.66,0.16,0.08,0.63,0.11,0.18,6647.8,31871.0,0.99,0.01,310.0,1.0
5112,1_41_59_1_15,Mairena del Aljarafe,Sevilla,Andalucía,44809.14,1250.0,0.51,0.49,0.12,0.61,0.27,0.18,0.6,0.1,0.12,27896.1,16831.0,0.9,0.1,575.0,1.0
5113,1_41_91_3_23,Sevilla,Sevilla,Andalucía,57583.05,1550.0,0.51,0.49,0.18,0.66,0.16,0.07,0.49,0.26,0.18,26917.6,33182.0,1.0,0.0,1075.0,0.56
5114,1_41_59_1_16,Mairena del Aljarafe,Sevilla,Andalucía,1926065.78,1315.0,0.46,0.54,0.23,0.72,0.05,0.0,0.22,0.55,0.23,682.7,65955.0,0.94,0.05,650.0,0.56
5115,1_41_59_1_17,Mairena del Aljarafe,Sevilla,Andalucía,968704.4,2545.0,0.51,0.49,0.24,0.69,0.07,0.01,0.36,0.39,0.24,2627.2,38508.0,0.88,0.12,1255.0,0.78
5116,1_41_59_1_18,Mairena del Aljarafe,Sevilla,Andalucía,943555.55,1515.0,0.51,0.49,0.22,0.66,0.12,0.09,0.53,0.16,0.22,1605.6,31618.0,1.0,0.0,480.0,0.96
5117,1_41_59_1_19,Mairena del Aljarafe,Sevilla,Andalucía,34822.96,1215.0,0.47,0.53,0.14,0.77,0.09,0.12,0.68,0.06,0.14,34890.8,17930.0,1.0,0.0,400.0,1.0
5118,1_41_59_1_20,Mairena del Aljarafe,Sevilla,Andalucía,233839.84,3165.0,0.48,0.52,0.28,0.65,0.07,0.01,0.45,0.25,0.28,13534.9,34934.0,0.96,0.04,1200.0,0.86
5119,1_41_59_1_21,Mairena del Aljarafe,Sevilla,Andalucía,194955.24,1600.0,0.54,0.46,0.23,0.72,0.05,0.02,0.43,0.32,0.23,8207.0,42034.0,0.96,0.04,535.0,1.0
5120,1_41_59_1_22,Mairena del Aljarafe,Sevilla,Andalucía,190527.18,1735.0,0.47,0.53,0.18,0.73,0.09,0.05,0.5,0.26,0.18,9106.3,39018.0,1.0,0.0,655.0,0.8
5121,1_41_59_1_24,Mairena del Aljarafe,Sevilla,Andalucía,336272.02,1985.0,0.46,0.54,0.18,0.74,0.08,0.02,0.41,0.39,0.18,5903.0,33808.0,0.96,0.04,1080.0,0.73
5122,1_41_59_1_25,Mairena del Aljarafe,Sevilla,Andalucía,8233254.96,1105.0,0.57,0.43,0.24,0.69,0.07,0.06,0.46,0.24,0.24,134.2,34415.0,1.0,0.0,620.0,0.52
5123,1_41_59_1_26,Mairena del Aljarafe,Sevilla,Andalucía,121803.14,1530.0,0.49,0.51,0.27,0.71,0.02,0.01,0.31,0.41,0.27,12561.3,32584.0,0.99,0.02,855.0,0.73
