,CUSEC,Municipality,Province,CCAA,Shape_area,Total_Population,Number_Males,Number_Females,Number_Minors,Number_Adults,Number_Elderlies,No_studies,Middle_studies,Complete_studies,Minors_NoInformation,Population_Density,Average_Income,Spanish_Nationality_People,Foreign_Nationality_People,Number_Properties,Number_Homes
2269,1_18_87_2_41,Granada,Granada,Andalucía,33942.97,985.0,0.54,0.46,0.22,0.65,0.13,0.06,0.58,0.14,0.22,29019.3,18071.0,0.74,0.26,385.0,0.77
2270,1_18_87_2_42,Granada,Granada,Andalucía,28970.87,690.0,0.49,0.51,0.13,0.53,0.35,0.25,0.54,0.08,0.13,23817.0,16475.0,0.68,0.32,580.0,0.49
2271,1_18_87_2_43,Granada,Granada,Andalucía,104714.53,2265.0,0.51,0.49,0.12,0.7,0.18,0.09,0.56,0.23,0.12,21630.2,28422.0,1.0,0.0,1005.0,0.88
2272,1_18_87_2_44,Granada,Granada,Andalucía,244715.69,1280.0,0.48,0.52,0.12,0.74,0.14,0.03,0.68,0.17,0.12,5230.6,26071.0,0.98,0.02,505.0,0.88
2273,1_18_87_2_45,Granada,Granada,Andalucía,78313.66,2155.0,0.5,0.5,0.31,0.56,0.13,0.16,0.45,0.08,0.31,27517.5,24297.0,0.92,0.09,910.0,0.8
2274,1_18_87_3_11,Granada,Granada,Andalucía,41041.59,265.0,0.4,0.6,0.04,0.53,0.43,,0.57,,,6456.9,11733.0,1.0,0.0,335.0,0.36
2275,1_18_87_2_47,Granada,Granada,Andalucía,121212.74,1005.0,0.43,0.57,0.13,0.68,0.19,0.09,0.4,0.37,0.13,8291.2,41918.0,1.0,0.0,490.0,0.94
2276,1_18_87_2_48,Granada,Granada,Andalucía,19706.26,695.0,0.48,0.52,0.06,0.65,0.29,0.06,0.61,0.27,0.06,35268.0,23293.0,1.0,0.0,470.0,0.65
2277,1_18_87_2_49,Granada,Granada,Andalucía,39834.69,1095.0,0.43,0.57,0.09,0.79,0.13,0.05,0.77,0.09,0.09,27488.6,23103.0,0.95,0.05,545.0,0.75
2278,1_18_87_3_2,Granada,Granada,Andalucía,813657.95,1280.0,0.46,0.53,0.14,0.71,0.14,0.07,0.29,0.5,0.14,1573.1,33261.0,1.0,0.0,1025.0,0.48
2279,1_18_87_3_3,Granada,Granada,Andalucía,64286.6,1335.0,0.52,0.48,0.15,0.54,0.3,0.03,0.42,0.39,0.15,20766.4,39436.0,0.96,0.04,1365.0,0.46
2280,1_18_87_3_4,Granada,Granada,Andalucía,143208.98,2215.0,0.41,0.59,0.13,0.71,0.16,0.01,0.28,0.58,0.13,15466.9,48678.0,1.0,0.0,1450.0,0.59
2281,1_18_87_3_5,Granada,Granada,Andalucía,243918.66,1240.0,0.38,0.62,0.08,0.72,0.2,0.03,0.51,0.37,0.08,5083.7,30230.0,0.93,0.07,855.0,0.61
2282,1_18_87_3_6,Granada,Granada,Andalucía,114970.29,1295.0,0.51,0.49,0.08,0.78,0.14,0.05,0.37,0.5,0.08,11263.8,37422.0,1.0,0.0,775.0,0.63
2283,1_18_87_3_7,Granada,Granada,Andalucía,69768.03,945.0,0.41,0.59,0.1,0.57,0.33,0.19,0.37,0.34,0.1,13544.9,23838.0,1.0,0.0,1530.0,0.33
2284,1_18_87_3_8,Granada,Granada,Andalucía,90780.89,1350.0,0.45,0.55,0.13,0.59,0.27,0.02,0.39,0.46,0.13,14871.0,38713.0,0.99,0.01,725.0,0.69
2285,1_18_87_3_9,Granada,Granada,Andalucía,244412.65,1445.0,0.43,0.57,0.11,0.63,0.26,0.08,0.46,0.34,0.11,5912.1,33155.0,0.97,0.03,785.0,0.73
2286,1_18_87_3_10,Granada,Granada,Andalucía,120579.94,2130.0,0.46,0.54,0.16,0.64,0.2,0.13,0.34,0.37,0.16,17664.6,33477.0,1.0,0.0,965.0,0.9
2287,1_41_91_4_49,Sevilla,Sevilla,Andalucía,41093.38,1425.0,0.49,0.51,0.12,0.74,0.14,0.05,0.72,0.11,0.12,34677.1,22409.0,0.99,0.01,780.0,0.66
2288,1_18_87_3_12,Granada,Granada,Andalucía,107978.4,910.0,0.36,0.64,0.1,0.7,0.2,0.18,0.43,0.29,0.1,8427.6,27132.0,0.98,0.02,1060.0,0.4
2289,1_18_87_3_13,Granada,Granada,Andalucía,614562.5,1855.0,0.51,0.49,0.25,0.63,0.12,0.04,0.55,0.16,0.25,3018.4,21320.0,0.98,0.02,740.0,0.97
2290,1_18_87_3_14,Granada,Granada,Andalucía,66282.16,700.0,0.47,0.53,0.09,0.65,0.26,0.12,0.61,0.18,0.09,10560.9,22021.0,0.99,0.01,475.0,0.63
2291,1_18_87_3_15,Granada,Granada,Andalucía,94491.66,1060.0,0.58,0.42,0.18,0.7,0.12,0.09,0.63,0.09,0.18,11217.9,17163.0,0.99,0.01,525.0,0.8
2292,1_18_87_3_16,Granada,Granada,Andalucía,91093.15,295.0,0.39,0.61,0.39,0.56,0.05,,,,0.39,3238.4,11675.0,0.78,0.22,105.0,1.0
2293,1_18_87_3_17,Granada,Granada,Andalucía,96090.63,235.0,0.4,0.6,0.15,0.74,0.11,,,,,2445.6,16867.0,1.0,0.0,445.0,0.28
2294,1_18_87_3_18,Granada,Granada,Andalucía,81741.94,465.0,0.3,0.7,0.32,0.49,0.18,0.16,0.51,0.0,0.32,5688.6,11675.0,1.0,0.0,415.0,0.31
2295,1_18_87_6_16,Granada,Granada,Andalucía,22047.78,730.0,0.43,0.57,0.06,0.67,0.27,0.1,0.69,0.14,0.06,33109.9,27111.0,1.0,0.0,415.0,0.76
2296,1_18_87_3_20,Granada,Granada,Andalucía,72940.19,2275.0,0.6,0.4,0.18,0.66,0.15,0.21,0.54,0.07,0.18,31189.9,14797.0,0.61,0.39,880.0,0.81
2297,1_18_87_3_21,Granada,Granada,Andalucía,975099.51,1265.0,0.44,0.56,0.26,0.72,0.01,0.07,0.58,0.08,0.26,1297.3,14534.0,0.7,0.3,665.0,0.6
2298,1_18_87_3_23,Granada,Granada,Andalucía,109800.67,1390.0,0.45,0.55,0.26,0.63,0.12,0.19,0.48,0.07,0.26,12659.3,13314.0,0.81,0.19,610.0,0.7
2299,1_18_87_6_17,Granada,Granada,Andalucía,14850.21,825.0,0.42,0.58,0.0,0.62,0.38,0.08,0.54,0.38,0.0,55554.8,34794.0,1.0,0.0,520.0,0.8
2300,1_18_87_3_24,Granada,Granada,Andalucía,378713.58,195.0,0.41,0.59,0.05,0.69,0.26,,,,,514.9,11675.0,1.0,0.0,220.0,0.36
2301,1_18_87_3_25,Granada,Granada,Andalucía,101348.56,1235.0,0.41,0.59,0.09,0.6,0.31,0.14,0.6,0.17,0.09,12185.7,20957.0,0.96,0.04,840.0,0.62
2302,1_18_87_3_26,Granada,Granada,Andalucía,103405.28,1315.0,0.54,0.46,0.1,0.73,0.18,0.09,0.63,0.19,0.1,12717.0,17531.0,0.95,0.05,660.0,0.83
2303,1_18_87_3_27,Granada,Granada,Andalucía,158973.86,1615.0,0.47,0.53,0.12,0.72,0.16,0.09,0.54,0.25,0.12,10158.9,26317.0,0.99,0.01,1055.0,0.6
2304,1_18_87_3_28,Granada,Granada,Andalucía,27768.66,870.0,0.43,0.58,0.13,0.41,0.46,0.16,0.44,0.28,0.13,31330.3,28165.0,0.99,0.02,850.0,0.49
2305,1_18_87_3_29,Granada,Granada,Andalucía,50638.13,1230.0,0.46,0.54,0.11,0.65,0.24,0.07,0.46,0.35,0.11,24290.0,39240.0,0.98,0.02,685.0,0.75
2306,1_18_87_3_30,Granada,Granada,Andalucía,235414.16,975.0,0.49,0.51,0.26,0.61,0.14,0.14,0.57,0.03,0.26,4141.6,13910.0,1.0,0.0,395.0,0.97
2307,1_18_87_3_31,Granada,Granada,Andalucía,422690.59,600.0,0.39,0.61,0.33,0.62,0.06,0.13,0.53,0.0,0.33,1419.5,11675.0,1.0,0.0,360.0,0.51
2308,1_18_87_3_32,Granada,Granada,Andalucía,1178671.53,2505.0,0.51,0.49,0.21,0.73,0.07,0.03,0.59,0.18,0.21,2125.3,18431.0,0.99,0.01,925.0,0.86
2309,1_18_87_3_33,Granada,Granada,Andalucía,140500.93,1595.0,0.48,0.52,0.14,0.73,0.12,0.05,0.64,0.16,0.14,11352.2,22529.0,0.94,0.06,895.0,0.72
2310,1_18_87_3_34,Granada,Granada,Andalucía,526618.96,3455.0,0.5,0.5,0.37,0.6,0.03,0.04,0.51,0.08,0.37,6560.7,12261.0,0.81,0.19,1475.0,0.87
2311,1_18_87_3_35,Granada,Granada,Andalucía,210421.47,2735.0,0.48,0.52,0.16,0.74,0.1,0.07,0.58,0.2,0.16,12997.7,24512.0,0.99,0.01,1260.0,0.81
2312,1_18_87_3_36,Granada,Granada,Andalucía,142540.35,2480.0,0.51,0.49,0.22,0.74,0.04,0.02,0.56,0.19,0.22,17398.6,21609.0,0.97,0.03,960.0,0.86
2313,1_18_87_6_18,Granada,Granada,Andalucía,19588.53,935.0,0.36,0.63,0.11,0.6,0.28,0.14,0.44,0.3,0.11,47732.0,40515.0,1.0,0.0,500.0,0.83
2314,1_18_87_3_38,Granada,Granada,Andalucía,294675.3,2685.0,0.49,0.51,0.24,0.71,0.05,0.0,0.36,0.4,0.24,9111.7,34936.0,1.0,0.0,1135.0,0.88
2315,1_18_87_3_39,Granada,Granada,Andalucía,96002.92,840.0,0.44,0.56,0.25,0.74,0.01,0.07,0.49,0.2,0.25,8749.7,14575.0,0.96,0.04,530.0,0.62
2316,1_18_87_3_40,Granada,Granada,Andalucía,244967.59,1670.0,0.47,0.53,0.13,0.8,0.07,0.01,0.35,0.51,0.13,6817.2,40763.0,0.97,0.03,610.0,0.93
2317,1_18_87_3_41,Granada,Granada,Andalucía,1144673.72,7075.0,0.49,0.51,0.24,0.72,0.04,0.04,0.36,0.37,0.24,6180.8,29017.0,0.97,0.03,3605.0,0.86
2318,1_18_87_3_42,Granada,Granada,Andalucía,67618.19,1325.0,0.34,0.66,0.26,0.64,0.09,0.05,0.58,0.1,0.26,19595.3,22373.0,1.0,0.0,770.0,0.71
2319,1_18_87_3_43,Granada,Granada,Andalucía,314472.51,2105.0,0.52,0.48,0.28,0.61,0.11,0.04,0.26,0.42,0.28,6693.7,38840.0,1.0,0.0,910.0,0.82
2320,1_18_87_4_1,Granada,Granada,Andalucía,63383.82,1110.0,0.55,0.45,0.09,0.77,0.14,0.03,0.31,0.56,0.09,17512.4,33414.0,0.92,0.08,720.0,0.64
2321,1_18_87_6_19,Granada,Granada,Andalucía,41938.64,805.0,0.46,0.54,0.2,0.39,0.4,0.19,0.38,0.22,0.2,19194.7,25503.0,0.98,0.02,575.0,0.51
2322,1_18_87_4_2,Granada,Granada,Andalucía,80781.07,1155.0,0.48,0.52,0.23,0.61,0.16,0.0,0.28,0.49,0.23,14297.9,25977.0,0.71,0.3,825.0,0.59
2323,1_18_87_5_2,Granada,Granada,Andalucía,175619.75,905.0,0.52,0.48,0.03,0.85,0.11,0.08,0.56,0.33,0.03,5153.2,24762.0,0.9,0.1,1145.0,0.38
2324,1_18_87_6_1,Granada,Granada,Andalucía,83126.8,1170.0,0.38,0.62,0.18,0.5,0.32,0.11,0.43,0.27,0.18,14074.9,31638.0,0.89,0.11,895.0,0.64
2325,1_18_87_6_3,Granada,Granada,Andalucía,59756.14,1040.0,0.46,0.54,0.08,0.54,0.38,0.1,0.56,0.25,0.08,17404.1,32795.0,1.0,0.0,745.0,0.74
2326,1_18_87_7_19,Granada,Granada,Andalucía,63648.23,1135.0,0.44,0.56,0.1,0.61,0.29,0.14,0.56,0.2,0.1,17832.4,22736.0,0.95,0.05,630.0,0.77
2327,1_18_87_4_3,Granada,Granada,Andalucía,348189.99,1430.0,0.46,0.54,0.22,0.62,0.15,0.09,0.42,0.27,0.22,4107.0,25462.0,0.73,0.27,1015.0,0.58
2328,1_18_87_6_4,Granada,Granada,Andalucía,35767.81,710.0,0.43,0.57,0.23,0.69,0.08,0.04,0.25,0.47,0.23,19850.2,25665.0,1.0,0.0,590.0,0.49
2329,1_41_91_4_50,Sevilla,Sevilla,Andalucía,37111.41,1210.0,0.42,0.58,0.11,0.63,0.26,0.12,0.69,0.08,0.11,32604.5,21143.0,1.0,0.0,700.0,0.74
2330,1_18_87_6_5,Granada,Granada,Andalucía,98530.75,1550.0,0.55,0.45,0.11,0.77,0.12,0.06,0.43,0.4,0.11,15731.1,34973.0,0.86,0.14,1040.0,0.59
2331,1_18_87_6_6,Granada,Granada,Andalucía,223241.72,1450.0,0.48,0.52,0.05,0.75,0.19,0.04,0.36,0.55,0.05,6495.2,38583.0,0.98,0.02,850.0,0.7
2332,1_18_87_6_7,Granada,Granada,Andalucía,71498.6,1170.0,0.38,0.62,0.18,0.54,0.27,0.07,0.38,0.37,0.18,16364.0,32460.0,0.97,0.03,560.0,0.91
2333,1_18_87_6_8,Granada,Granada,Andalucía,32374.94,650.0,0.36,0.65,0.12,0.53,0.35,0.09,0.48,0.31,0.12,20077.3,22295.0,0.94,0.06,515.0,0.73
2334,1_18_87_6_9,Granada,Granada,Andalucía,42949.47,1285.0,0.44,0.56,0.08,0.65,0.28,0.06,0.57,0.3,0.08,29918.9,27868.0,0.97,0.03,820.0,0.66
2335,1_18_87_6_10,Granada,Granada,Andalucía,21760.27,940.0,0.39,0.61,0.08,0.57,0.34,0.18,0.63,0.11,0.08,43198.0,24929.0,0.97,0.03,410.0,1.0
2336,1_18_87_6_11,Granada,Granada,Andalucía,18932.83,910.0,0.47,0.53,0.09,0.58,0.32,0.01,0.47,0.42,0.09,48064.7,42127.0,0.93,0.07,480.0,0.77
2337,1_18_87_6_12,Granada,Granada,Andalucía,52345.32,1125.0,0.46,0.54,0.09,0.69,0.21,0.12,0.54,0.24,0.09,21491.9,25220.0,0.99,0.01,580.0,0.86
2338,1_18_87_6_20,Granada,Granada,Andalucía,155213.99,2255.0,0.5,0.5,0.18,0.7,0.12,0.02,0.39,0.4,0.18,14528.3,31979.0,0.89,0.11,1135.0,0.74
2339,1_18_87_6_21,Granada,Granada,Andalucía,132661.67,1055.0,0.5,0.5,0.32,0.58,0.1,0.01,0.48,0.18,0.32,7952.6,35281.0,1.0,0.0,500.0,0.73
2340,1_18_87_6_22,Granada,Granada,Andalucía,102040.1,970.0,0.41,0.59,0.13,0.72,0.14,0.01,0.47,0.38,0.13,9506.1,36159.0,1.0,0.0,440.0,0.85
2341,1_18_87_6_23,Granada,Granada,Andalucía,1542446.46,1640.0,0.45,0.55,0.22,0.69,0.09,0.02,0.45,0.31,0.22,1063.2,39747.0,0.95,0.05,700.0,0.79
2342,1_18_87_6_24,Granada,Granada,Andalucía,54648.48,665.0,0.55,0.45,0.08,0.76,0.17,0.0,0.45,0.47,0.08,12168.7,34681.0,0.98,0.02,210.0,1.0
2343,1_18_87_6_25,Granada,Granada,Andalucía,56783.34,1350.0,0.36,0.64,0.1,0.76,0.14,0.04,0.67,0.19,0.1,23774.6,27812.0,0.95,0.05,650.0,0.85
2344,1_18_87_7_20,Granada,Granada,Andalucía,57315.62,785.0,0.46,0.54,0.19,0.49,0.31,0.07,0.66,0.08,0.19,13696.1,20230.0,0.77,0.23,620.0,0.6
2345,1_18_87_7_1,Granada,Granada,Andalucía,81817.95,1165.0,0.42,0.58,0.07,0.72,0.22,0.15,0.35,0.44,0.07,14238.9,23844.0,0.81,0.19,1080.0,0.56
2346,1_18_87_7_4,Granada,Granada,Andalucía,64187.61,205.0,0.37,0.63,0.07,0.71,0.22,,,0.41,,3193.8,28574.0,1.0,0.0,675.0,0.19
2347,1_18_87_7_5,Granada,Granada,Andalucía,80083.43,1585.0,0.45,0.55,0.21,0.6,0.2,0.03,0.39,0.37,0.21,19791.9,31388.0,0.86,0.14,1350.0,0.58
2348,1_18_87_7_6,Granada,Granada,Andalucía,49199.24,910.0,0.46,0.54,0.09,0.55,0.36,0.14,0.21,0.56,0.09,18496.2,33339.0,0.96,0.04,1155.0,0.38
2349,1_18_87_7_8,Granada,Granada,Andalucía,97788.02,1345.0,0.47,0.53,0.17,0.63,0.2,0.04,0.35,0.44,0.17,13754.2,36372.0,0.89,0.11,1225.0,0.42
2350,1_18_87_7_9,Granada,Granada,Andalucía,121094.6,1265.0,0.44,0.56,0.14,0.72,0.14,0.03,0.31,0.52,0.14,10446.4,48957.0,0.98,0.01,790.0,0.62
2351,1_18_87_7_10,Granada,Granada,Andalucía,29342.45,1135.0,0.44,0.56,0.16,0.69,0.15,0.01,0.29,0.55,0.16,38681.2,38125.0,0.93,0.07,685.0,0.78
2352,1_18_87_7_30,Granada,Granada,Andalucía,45992.83,1645.0,0.47,0.53,0.09,0.78,0.13,0.1,0.58,0.23,0.09,35766.4,25804.0,0.98,0.02,735.0,0.8
2353,1_18_87_7_11,Granada,Granada,Andalucía,380670.18,1200.0,0.41,0.59,0.18,0.51,0.31,0.04,0.34,0.45,0.18,3152.3,41126.0,0.99,0.01,675.0,0.67
2354,1_18_87_7_12,Granada,Granada,Andalucía,38390.53,1410.0,0.34,0.67,0.1,0.62,0.29,0.06,0.35,0.49,0.1,36727.8,37932.0,1.0,0.0,855.0,0.77
2355,1_18_87_7_13,Granada,Granada,Andalucía,44165.53,2445.0,0.44,0.56,0.08,0.66,0.26,0.12,0.48,0.33,0.08,55359.9,26921.0,0.91,0.09,1345.0,0.78
2356,1_18_87_7_14,Granada,Granada,Andalucía,54021.29,1080.0,0.55,0.45,0.14,0.69,0.18,0.23,0.46,0.17,0.14,19992.1,17079.0,0.74,0.26,865.0,0.58
2357,1_18_87_7_15,Granada,Granada,Andalucía,19056.55,395.0,0.29,0.71,0.11,0.41,0.48,0.19,0.52,0.18,0.11,20727.8,26845.0,0.92,0.08,545.0,0.35
2358,1_18_87_7_16,Granada,Granada,Andalucía,19437.94,675.0,0.33,0.67,0.02,0.64,0.33,0.13,0.53,0.31,0.02,34725.9,30797.0,0.97,0.03,475.0,0.67
2359,1_18_87_7_17,Granada,Granada,Andalucía,97492.89,1125.0,0.5,0.5,0.12,0.7,0.18,0.04,0.51,0.34,0.12,11539.3,34284.0,0.98,0.02,685.0,0.64
2360,1_18_87_7_18,Granada,Granada,Andalucía,131914.78,1290.0,0.48,0.52,0.15,0.66,0.2,0.05,0.6,0.2,0.15,9779.0,24882.0,0.97,0.03,680.0,0.78
2361,1_18_87_7_21,Granada,Granada,Andalucía,30744.66,900.0,0.54,0.46,0.2,0.58,0.22,0.21,0.45,0.15,0.2,29273.4,16746.0,0.73,0.27,495.0,0.75
2362,1_18_87_7_22,Granada,Granada,Andalucía,22725.92,955.0,0.49,0.51,0.1,0.59,0.31,0.25,0.58,0.07,0.1,42022.5,16468.0,0.97,0.02,505.0,0.93
2363,1_18_87_7_23,Granada,Granada,Andalucía,24936.16,920.0,0.5,0.5,0.11,0.65,0.24,0.14,0.68,0.07,0.11,36894.2,17540.0,1.0,0.0,515.0,0.79
2364,1_18_87_7_24,Granada,Granada,Andalucía,31314.27,2060.0,0.45,0.55,0.22,0.68,0.1,0.06,0.65,0.07,0.22,65784.7,17141.0,0.51,0.49,815.0,0.79
2365,1_18_87_7_31,Granada,Granada,Andalucía,57245.69,1145.0,0.46,0.54,0.12,0.65,0.24,0.05,0.55,0.29,0.12,20001.5,24212.0,1.0,0.0,510.0,0.86
2366,1_18_87_7_32,Granada,Granada,Andalucía,1156474.52,2015.0,0.48,0.52,0.25,0.67,0.09,0.04,0.51,0.21,0.25,1742.4,28857.0,1.0,0.0,820.0,0.86
2367,1_18_87_7_33,Granada,Granada,Andalucía,100593.2,1060.0,0.46,0.54,0.07,0.83,0.09,0.04,0.59,0.29,0.07,10537.5,24491.0,1.0,0.0,365.0,1.0
2368,1_18_87_7_25,Granada,Granada,Andalucía,15498181.0,2400.0,0.5,0.5,0.23,0.66,0.1,0.05,0.36,0.36,0.23,154.9,35487.0,0.98,0.02,1425.0,0.67
2369,1_18_87_7_26,Granada,Granada,Andalucía,95343.18,1005.0,0.45,0.55,0.1,0.53,0.37,0.16,0.63,0.1,0.1,10540.9,22443.0,0.96,0.04,535.0,0.82
2370,1_18_87_7_27,Granada,Granada,Andalucía,93565.99,2160.0,0.46,0.54,0.21,0.59,0.19,0.16,0.31,0.32,0.21,23085.3,31787.0,1.0,0.0,900.0,0.92
2371,1_18_87_7_28,Granada,Granada,Andalucía,36189.45,1190.0,0.56,0.43,0.1,0.83,0.07,0.14,0.62,0.13,0.1,32882.5,22569.0,0.94,0.06,580.0,0.74
2372,1_18_87_7_29,Granada,Granada,Andalucía,18700.69,680.0,0.48,0.52,0.22,0.49,0.29,0.04,0.43,0.31,0.22,36362.3,28708.0,0.98,0.02,555.0,0.49
2373,1_18_87_8_1,Granada,Granada,Andalucía,173344.35,1160.0,0.44,0.56,0.18,0.63,0.19,0.12,0.36,0.35,0.18,6691.9,24468.0,0.98,0.02,1275.0,0.36
2374,1_18_87_8_2,Granada,Granada,Andalucía,171378.77,1105.0,0.48,0.52,0.13,0.55,0.32,0.18,0.33,0.37,0.13,6447.7,30254.0,0.95,0.05,695.0,0.7
2375,1_18_87_8_3,Granada,Granada,Andalucía,146389.35,1230.0,0.48,0.52,0.15,0.66,0.19,0.1,0.51,0.24,0.15,8402.3,24015.0,0.74,0.26,605.0,0.67
2376,1_18_87_8_4,Granada,Granada,Andalucía,31499802.21,2880.0,0.52,0.48,0.14,0.72,0.13,0.07,0.41,0.38,0.14,91.4,26444.0,0.84,0.16,1640.0,0.77
2377,1_18_87_8_6,Granada,Granada,Andalucía,1149053.68,1540.0,0.48,0.52,0.18,0.71,0.11,0.2,0.53,0.09,0.18,1340.2,16124.0,0.89,0.11,720.0,0.83
2378,1_18_87_9_1,Granada,Granada,Andalucía,599807.67,920.0,0.52,0.48,0.02,0.96,0.02,0.02,0.48,0.48,0.02,1533.8,31338.0,0.8,0.2,625.0,0.62
2379,1_18_87_9_2,Granada,Granada,Andalucía,119557.57,880.0,0.57,0.43,0.09,0.75,0.16,0.05,0.55,0.3,0.09,7360.5,36704.0,0.95,0.05,360.0,0.89
2380,1_18_87_9_3,Granada,Granada,Andalucía,4168683.48,2100.0,0.47,0.53,0.22,0.7,0.08,0.03,0.34,0.4,0.22,503.8,40432.0,0.95,0.05,1035.0,0.81
2381,1_18_87_9_4,Granada,Granada,Andalucía,1220132.67,3610.0,0.49,0.51,0.24,0.7,0.06,0.05,0.29,0.42,0.24,2958.7,42351.0,0.96,0.04,2045.0,0.67
2382,1_18_87_9_5,Granada,Granada,Andalucía,1261368.84,1820.0,0.46,0.54,0.23,0.69,0.09,0.04,0.48,0.26,0.23,1442.9,25276.0,0.97,0.03,950.0,0.74
2383,1_18_87_9_6,Granada,Granada,Andalucía,358052.81,1595.0,0.46,0.54,0.15,0.58,0.27,0.15,0.47,0.23,0.15,4454.7,24303.0,0.91,0.09,845.0,0.73
2384,1_18_87_9_7,Granada,Granada,Andalucía,73496.08,2140.0,0.47,0.53,0.21,0.61,0.18,0.04,0.47,0.28,0.21,29117.2,27457.0,0.93,0.07,1025.0,0.82
2385,1_18_87_9_8,Granada,Granada,Andalucía,499664.75,1595.0,0.5,0.51,0.18,0.68,0.14,0.05,0.36,0.41,0.18,3192.1,43916.0,1.0,0.0,800.0,0.74
2386,1_18_87_9_9,Granada,Granada,Andalucía,208570.0,1420.0,0.55,0.45,0.14,0.71,0.14,0.1,0.5,0.26,0.14,6808.3,27666.0,0.93,0.08,590.0,0.76
2387,1_18_88_1_1,Guadahortuna,Granada,Andalucía,680674.12,1215.0,0.54,0.46,0.17,0.58,0.25,0.31,0.46,0.05,0.17,1785.0,16697.0,0.97,0.03,720.0,0.67
2388,1_18_89_1_1,Guadix,Granada,Andalucía,122212.33,620.0,0.4,0.6,0.06,0.58,0.36,0.27,0.4,0.27,0.06,5073.1,20272.0,1.0,0.0,500.0,0.71
2389,1_18_88_1_2,Guadahortuna,Granada,Andalucía,120464425.9,825.0,0.48,0.52,0.25,0.7,0.05,0.25,0.47,0.03,0.25,6.8,14968.0,1.0,0.0,460.0,0.64
2390,1_18_89_1_10,Guadix,Granada,Andalucía,66440.76,1205.0,0.58,0.42,0.12,0.7,0.18,0.06,0.68,0.14,0.12,18136.5,25278.0,0.93,0.07,545.0,0.83
2391,1_18_89_1_11,Guadix,Granada,Andalucía,34698483.68,2980.0,0.51,0.49,0.2,0.68,0.12,0.07,0.58,0.16,0.2,85.9,32438.0,0.97,0.03,1340.0,0.79
2392,1_18_89_1_2,Guadix,Granada,Andalucía,164255.59,780.0,0.47,0.53,0.21,0.54,0.24,0.21,0.46,0.13,0.21,4748.7,18172.0,1.0,0.0,625.0,0.54
2393,1_18_89_1_3,Guadix,Granada,Andalucía,126900.58,1380.0,0.51,0.49,0.13,0.76,0.11,0.06,0.58,0.23,0.13,10874.7,22586.0,0.96,0.04,685.0,0.72
2394,1_18_89_1_4,Guadix,Granada,Andalucía,176508.19,1155.0,0.42,0.58,0.13,0.64,0.23,0.16,0.65,0.06,0.13,6543.6,19079.0,1.0,0.0,570.0,0.83
2395,1_18_89_1_5,Guadix,Granada,Andalucía,61100.57,1085.0,0.5,0.5,0.24,0.58,0.18,0.17,0.45,0.14,0.24,17757.6,24478.0,1.0,0.0,440.0,0.88
2396,1_23_5_3_7,Andújar,Jaén,Andalucía,51777.83,1255.0,0.47,0.53,0.17,0.68,0.15,0.14,0.6,0.09,0.17,24238.2,21784.0,1.0,0.0,580.0,1.0
2397,1_18_89_1_7,Guadix,Granada,Andalucía,31359863.99,1715.0,0.55,0.45,0.23,0.63,0.14,0.1,0.49,0.19,0.23,54.7,23377.0,0.79,0.2,835.0,0.74
2398,1_18_94_1_3,Güejar Sierra,Granada,Andalucía,65879.57,795.0,0.49,0.51,0.18,0.65,0.16,0.11,0.64,0.08,0.18,12067.5,23081.0,0.99,0.01,495.0,0.6
2399,1_21_7_3_2,Aracena,Huelva,Andalucía,160421.61,1000.0,0.46,0.54,0.18,0.63,0.19,0.08,0.52,0.22,0.18,6233.6,23887.0,0.97,0.02,610.0,0.7
2400,1_18_89_1_8,Guadix,Granada,Andalucía,22587217.75,855.0,0.43,0.57,0.18,0.65,0.16,0.12,0.64,0.05,0.18,37.9,21860.0,1.0,0.0,505.0,0.65
2401,1_18_89_1_9,Guadix,Granada,Andalucía,81989.29,1320.0,0.51,0.49,0.12,0.68,0.2,0.12,0.54,0.22,0.12,16099.7,24307.0,1.0,0.0,615.0,0.8
2402,1_21_7_3_3,Aracena,Huelva,Andalucía,49157130.42,2640.0,0.48,0.52,0.27,0.62,0.11,0.05,0.51,0.17,0.27,53.7,21727.0,0.96,0.05,1705.0,0.56
2403,1_18_89_2_1,Guadix,Granada,Andalucía,331251.92,990.0,0.58,0.42,0.18,0.61,0.22,0.32,0.45,0.06,0.18,2988.7,14913.0,1.0,0.0,780.0,0.54
2404,1_18_89_2_2,Guadix,Granada,Andalucía,11311871.68,1865.0,0.52,0.48,0.24,0.73,0.04,0.03,0.54,0.19,0.24,164.9,25662.0,0.99,0.01,705.0,0.88
2405,1_18_89_2_3,Guadix,Granada,Andalucía,22413287.93,1055.0,0.53,0.47,0.04,0.73,0.23,0.12,0.8,0.04,0.04,47.1,19585.0,1.0,0.0,560.0,0.64
2406,1_18_100_1_1,Huétor Tájar,Granada,Andalucía,504095.97,1760.0,0.53,0.47,0.23,0.59,0.19,0.13,0.55,0.1,0.23,3491.4,20351.0,0.72,0.28,835.0,0.74
2407,1_21_8_1_1,Aroche,Huelva,Andalucía,96630265.68,1455.0,0.48,0.52,0.11,0.69,0.19,0.14,0.6,0.14,0.11,15.1,17386.0,1.0,0.0,805.0,0.65
2408,1_21_8_2_1,Aroche,Huelva,Andalucía,125325946.64,950.0,0.49,0.5,0.14,0.6,0.25,0.31,0.52,0.04,0.14,7.6,16304.0,1.0,0.0,555.0,0.65
