,Postal_Code,Municipality,Province,CCAA,Shape_area,Total_Population,Number_Males,Number_Females,Number_Minors,Number_Adults,Number_Elderlies,No_studies,Middle_studies,Complete_studies,Minors_NoInformation,Population_Density,Average_Income,Spanish_Nationality_People,Foreign_Nationality_People,Number_Properties,Number_Homes
268,29718,Almáchar,Málaga,Andalucia,2846739.349199474,49945.0,0.52,0.48,0.12,0.64,0.24,0.23,0.58,0.06,0.12,82.33,16070.82,0.86,0.14,31815.0,0.67
269,29713,Viñuela,Málaga,Andalucia,14913097.122900708,14590.0,0.51,0.49,0.11,0.61,0.29,0.2,0.6,0.09,0.11,59.11,16180.75,0.67,0.32,9515.0,0.69
270,29718,Almáchar,Málaga,Andalucia,11545417.658409558,49945.0,0.52,0.48,0.12,0.64,0.24,0.23,0.58,0.06,0.12,82.33,16070.82,0.86,0.14,31815.0,0.67
271,29110,Monda,Málaga,Andalucia,57648257.39729536,16475.0,0.55,0.45,0.17,0.65,0.18,0.12,0.58,0.11,0.19,682.1,20461.0,0.77,0.23,9330.0,0.69
272,29550,Ardales,Málaga,Andalucia,106505599.74418838,14240.0,0.5,0.5,0.14,0.66,0.2,0.21,0.56,0.07,0.15,631.68,19015.36,0.92,0.09,7380.0,0.71
273,29719,Benamocarra,Málaga,Andalucia,5733759.179496444,20720.0,0.53,0.47,0.12,0.67,0.21,0.2,0.6,0.08,0.12,347.96,17215.38,0.84,0.16,11870.0,0.74
274,29451,Parauta,Málaga,Andalucia,44487930.77301637,10820.0,0.52,0.48,0.13,0.63,0.23,0.18,0.59,0.1,0.13,15.6,21416.86,0.84,0.16,7915.0,0.58
275,29494,Atajate,Málaga,Andalucia,10901556.421540847,1155.0,0.52,0.49,0.1,0.64,0.28,0.24,0.6,0.06,0.1,13.35,15648.75,0.9,0.11,1280.0,0.44
276,29752,Sayalonga,Málaga,Andalucia,15506017.93813786,9710.0,0.51,0.49,0.12,0.65,0.23,0.19,0.57,0.12,0.12,135.33,16883.43,0.79,0.21,8955.0,0.5
277,29670,Marbella,Málaga,Andalucia,11164587.714746587,38450.0,0.5,0.5,0.19,0.7,0.12,0.13,0.58,0.11,0.19,23494.04,24207.59,0.75,0.25,19105.0,0.82
278,29649,Mijas,Málaga,Andalucia,52675848.5320077,33630.0,0.49,0.52,0.13,0.67,0.19,0.04,0.63,0.22,0.13,1659.99,20762.67,0.59,0.41,35980.0,0.48
279,29130,Alhaurín de la Torre,Málaga,Andalucia,82674706.63273239,62375.0,0.5,0.5,0.21,0.68,0.11,0.08,0.57,0.13,0.21,2917.74,27874.0,0.89,0.11,27050.0,0.81
280,29170,Colmenar,Málaga,Andalucia,65924519.5639649,17400.0,0.52,0.47,0.15,0.64,0.21,0.22,0.54,0.08,0.16,874.31,19514.42,0.86,0.13,8590.0,0.77
281,29250,Antequera,Málaga,Andalucia,238389757.84829703,13135.0,0.52,0.48,0.14,0.63,0.22,0.23,0.56,0.05,0.16,134.75,18208.56,0.91,0.09,6545.0,0.76
282,29651,Mijas,Málaga,Andalucia,11146292.245174697,79925.0,0.5,0.5,0.19,0.68,0.13,0.11,0.6,0.12,0.19,14522.81,21457.15,0.73,0.27,43105.0,0.75
283,29760,Vélez-Málaga,Málaga,Andalucia,10472816.764365947,6995.0,0.51,0.49,0.14,0.67,0.19,0.19,0.55,0.12,0.14,442.5,18672.6,0.87,0.14,6510.0,0.47
284,29791,Vélez-Málaga,Málaga,Andalucia,6914302.279591068,14945.0,0.52,0.48,0.17,0.68,0.14,0.16,0.56,0.1,0.17,116.57,20999.6,0.9,0.1,8920.0,0.71
285,29650,Fuengirola,Málaga,Andalucia,26387.173617315297,66370.0,0.5,0.5,0.18,0.63,0.19,0.07,0.59,0.17,0.18,1367.62,22292.0,0.63,0.37,49660.0,0.58
286,29753,Árchez,Málaga,Andalucia,4793378.913597881,25680.0,0.51,0.49,0.12,0.64,0.24,0.2,0.57,0.1,0.12,154.18,16010.21,0.74,0.26,17710.0,0.63
287,29313,Villanueva del Trabuco,Málaga,Andalucia,59140206.19078111,11445.0,0.51,0.49,0.13,0.65,0.22,0.22,0.58,0.07,0.13,2232.21,18996.0,0.93,0.07,5835.0,0.72
288,29470,Cuevas del Becerro,Málaga,Andalucia,16005063.117399015,4570.0,0.5,0.5,0.11,0.66,0.23,0.27,0.57,0.06,0.11,54.78,20363.6,0.97,0.03,2810.0,0.68
289,29310,Villanueva de Algaidas,Málaga,Andalucia,37173758.639768496,8250.0,0.52,0.48,0.14,0.63,0.23,0.26,0.55,0.05,0.14,281.43,19293.8,0.92,0.08,4170.0,0.74
290,29370,Benaoján,Málaga,Andalucia,32002575.51613314,5715.0,0.51,0.49,0.12,0.7,0.19,0.17,0.65,0.07,0.12,126.4,20152.5,0.97,0.03,3215.0,0.69
291,29531,Humilladero,Málaga,Andalucia,19845725.680712067,14245.0,0.51,0.49,0.13,0.65,0.22,0.18,0.59,0.08,0.15,42.59,18326.33,0.89,0.11,8130.0,0.74
292,29490,Benarrabá,Málaga,Andalucia,24903548.89624268,13560.0,0.52,0.48,0.13,0.64,0.23,0.25,0.54,0.07,0.13,22.36,16519.62,0.92,0.08,9895.0,0.55
293,29551,Carratraca,Málaga,Andalucia,22439521.873658653,3055.0,0.49,0.51,0.12,0.66,0.22,0.22,0.6,0.06,0.12,19.17,18913.33,0.88,0.13,1775.0,0.68
294,29750,Algarrobo,Málaga,Andalucia,9211127.750922617,13855.0,0.51,0.49,0.16,0.65,0.19,0.18,0.56,0.1,0.16,685.6,18324.11,0.89,0.11,10380.0,0.56
295,18870,Guadix,Granada,Andalucia,1770012.524869934,7905.0,0.49,0.51,0.13,0.62,0.26,0.18,0.63,0.06,0.13,5.81,20527.38,0.96,0.04,5175.0,0.64
296,29330,Almargen,Málaga,Andalucia,34356053.911632925,7655.0,0.52,0.49,0.14,0.65,0.21,0.27,0.55,0.04,0.14,30.7,17899.71,0.97,0.03,3790.0,0.77
297,29719,Sedella,Málaga,Andalucia,1443741.3154984924,20720.0,0.53,0.47,0.12,0.67,0.21,0.2,0.6,0.08,0.12,347.96,17215.38,0.84,0.16,11870.0,0.74
298,29452,Cartajima,Málaga,Andalucia,21467698.28582604,2895.0,0.52,0.47,0.1,0.64,0.26,0.22,0.6,0.08,0.1,12.22,20715.33,0.96,0.04,1870.0,0.61
299,29770,Torrox,Málaga,Andalucia,35249297.00573411,21125.0,0.51,0.49,0.15,0.64,0.21,0.16,0.58,0.11,0.15,436.07,17467.6,0.73,0.27,19775.0,0.48
300,14857,Castro del Río,Córdoba,Andalucia,4161750.341859417,12900.0,0.48,0.52,0.16,0.68,0.16,0.23,0.57,0.04,0.16,1999.01,19041.3,0.98,0.02,7325.0,0.65
301,29462,Júzcar,Málaga,Andalucia,33660915.60389755,11950.0,0.52,0.48,0.12,0.63,0.25,0.19,0.58,0.11,0.12,20.55,20272.62,0.83,0.18,10800.0,0.57
