,Name,Province,Municipality,Date,SH2,SO2,NO2,CO,PART,O3,geometry
87,ROMERALEJO,HUELVA,HUELVA,2015-06-01,,5.45483870967742,,,23.00967741935484,,POINT (-6.919048685405994 37.26731545816317)
88,RONDA DEL VALLE,JAEN,JAEN,2015-06-01,,4.33225806451613,16.49677419354839,205.07096774193548,23.370967741935484,97.33870967741936,POINT (-3.78150323838333 37.78232466978504)
89,SAN FERNANDO,CADIZ,SAN FERNANDO,2015-06-01,,9.293548387096772,11.829032258064515,196.68387096774194,19.24838709677419,86.81935483870967,POINT (-6.203039093633443 36.46051521730445)
90,SAN JERONIMO,SEVILLA,SEVILLA,2015-06-01,,,21.133333333333333,,,78.80645161290323,POINT (-5.980385255696033 37.42987594392861)
91,SAN JUAN DEL PUERTO,HUELVA,SAN JUAN DEL PUERTO,2015-06-01,1.6516129032258062,15.64193548387097,12.654838709677415,,22.412903225806446,,POINT (-6.844952686373158 37.31538315053815)
92,SANTA CLARA,SEVILLA,SEVILLA,2015-06-01,,,14.20967741935484,363.5258064516128,23.648387096774197,83.35806451612905,POINT (-5.951480547018437 37.39814994346559)
93,SIERRA NORTE,SEVILLA,SAN NICOLAS DEL PUERTO,2015-06-01,,4.767741935483872,3.6064516129032262,,27.63870967741935,84.45806451612901,POINT (-5.666884369411609 37.99436707168308)
94,TORNEO,SEVILLA,SEVILLA,2015-06-01,,3.1387096774193552,38.58064516129032,350.5129032258065,37.8774193548387,63.39677419354839,POINT (-6.003061861615903 37.39452658156043)
95,TORREARENILLA,HUELVA,PALOS DE LA FRONTERA,2015-06-01,,24.299999999999997,4.175,,,,POINT (-6.879335244805869 37.19123821528311)
96,TORREDONJIMENO,JAEN,TORREDONJIMENO,2015-06-01,,,,,,,POINT (-3.947188645379645 37.76221135520967)
97,VALVERDE,HUELVA,VALVERDE DEL CAMINO,2015-06-01,,,,,,,POINT (-6.739477971187849 37.56720476428471)
98,VILLAHARTA,CORDOBA,VILLAHARTA,2015-06-01,,9.322580645161292,5.3741935483870975,254.32580645161295,,115.1032258064516,POINT (-4.902267674247435 38.14145435136004)
99,VILLANUEVA DEL ARZOBISPO,JAEN,VILLANUEVA DEL ARZOBISPO,2015-06-01,,,8.225806451612904,222.76129032258066,22.70967741935484,101.23548387096774,POINT (-3.010113112151989 38.1694003272052)
100,VILLARICOS,ALMERIA,CUEVAS DEL ALMANZORA,2015-06-01,,7.6466666666666665,10.33,,31.755555555555556,,POINT (-1.770825534985788 37.25225191408744)
0,AGUA AMARGA,ALMERIA,NIJAR,2015-07-01,,,,,,,POINT (-1.934938254755939 36.94112880054492)
1,ALCALA DE GUADAIRA,SEVILLA,ALCALA DE GUADAIRA,2015-07-01,,3.7875000000000005,13.534374999999995,244.22812500000003,36.065625,82.325,POINT (-5.833689863604673 37.34247810274115)
2,ALGAR,CADIZ,ALGAR,2015-07-01,,18.166666666666668,4.3,1161.0111111111112,40.68888888888889,,POINT (-5.663221236847009 36.6571494264956)
3,ALGECIRAS EPS,CADIZ,ALGECIRAS,2015-07-01,,14.3,35.38437499999999,533.578125,35.662499999999994,51.47812499999999,POINT (-5.453620580414649 36.1358859882974)
4,ALJARAFE,SEVILLA,MAIRENA DEL ALJARAFE,2015-07-01,,9.809375,8.93636363636364,,36.5741935483871,73.125,POINT (-6.042458170589498 37.34076045518309)
5,ARCOS,CADIZ,ARCOS DE LA FRONTERA,2015-07-01,,17.045454545454547,4.828571428571428,376.00526315789483,55.76190476190476,89.95238095238095,POINT (-5.743645869095716 36.73971352831157)
6,ASOMADILLA,CORDOBA,CORDOBA,2015-07-01,,7.843749999999999,17.066666666666666,,24.603125000000002,85.746875,POINT (-4.779710242859364 37.90274084511806)
7,AVDA. AL-NASIR,CORDOBA,CORDOBA,2015-07-01,,4.53125,35.456250000000004,213.24375,32.10625,,POINT (-4.780097860757917 37.89260658194809)
8,Avda. MARCONI,CADIZ,CADIZ,2015-07-01,,3.1468749999999996,14.259374999999993,311.73749999999995,71.075,72.578125,POINT (-6.268560442387801 36.50609236735126)
9,AVENIDA JUAN XXIII,MALAGA,MALAGA,2015-07-01,,,38.043749999999996,,,,POINT (-4.444642248123408 36.70903165956727)
10,BAILEN,JAEN,BAILEN,2015-07-01,,5.08125,13.7,87.44,37.4,87.028125,POINT (-3.783864874130766 38.09295638662752)
11,BEDAR,ALMERIA,BEDAR,2015-07-01,,8.19375,7.065,,31.321875,100.36874999999998,POINT (-1.97911077217164 37.19301773313732)
12,BENAHADUX,ALMERIA,BENAHADUX,2015-07-01,,4.7875000000000005,10.475000000000001,,,81.90000000000003,POINT (-2.463409451137297 36.92313615919152)
13,BERMEJALES,SEVILLA,SEVILLA,2015-07-01,,5.703125000000001,25.300000000000008,617.2156250000002,38.26875,67.96249999999999,POINT (-5.979734155447158 37.34719077831389)
14,CAMPAMENTO,CADIZ,SAN ROQUE,2015-07-01,3.14375,12.828124999999998,23.665625,863.7218750000001,,45.88749999999999,POINT (-5.376688682653863 36.17948252543535)
15,CAMPANILLAS,MALAGA,MALAGA,2015-07-01,,4.015384615384616,14.721874999999999,239.76923076923077,52.53750000000001,83.45161290322581,POINT (-4.561490946907281 36.73022627556985)
16,CAMPILLOS,MALAGA,CAMPILLOS,2015-07-01,,,8.909090909090908,,,101.49687499999999,POINT (-4.845332259019838 36.96306433920137)
17,CAMPOHERMOSO,ALMERIA,NIJAR,2015-07-01,,4.463636363636364,12.463636363636363,,45.81818181818182,97.13636363636364,POINT (-2.13883991187908 36.93378768093832)
18,CAMPUS EL CARMEN,HUELVA,HUELVA,2015-07-01,,5.078260869565218,17.4047619047619,466.0913043478261,22.42105263157895,59.63000000000001,POINT (-6.925262584688053 37.27166240500601)
19,CARBONERAS,ALMERIA,CARBONERAS,2015-07-01,,3.3909090909090907,10.572727272727272,496.74545454545455,53.02,,POINT (-1.892256085285251 36.99939497237954)
20,CARRANQUE,MALAGA,MALAGA,2015-07-01,,11.609374999999998,21.893749999999997,603.4781250000001,51.20333333333334,78.46250000000002,POINT (-4.447476460817017 36.71963192865133)
21,CARTAYA,HUELVA,CARTAYA,2015-07-01,,,,,,,POINT (-7.149621112095455 37.29592270461294)
22,CARTUJA,CADIZ,JEREZ DE LA FRONTERA,2015-07-01,,5.806249999999999,11.996875000000003,673.525,37.038709677419355,72.95625,POINT (-6.114685621800139 36.66088405587969)
23,CENTRO,SEVILLA,SEVILLA,2015-07-01,,3.3156250000000007,22.353124999999995,431.15312500000005,,70.07812500000001,POINT (-5.991463212346508 37.38807831537342)
24,CIUDAD DEPORTIVA,GRANADA,ARMILLA,2015-07-01,,8.934374999999998,13.115624999999996,132.65000000000003,37.62307692307692,68.79375,POINT (-3.619137405016542 37.13560425564472)
