,Name,Province,Date,ALNUS,ALTERNARIA,ARTEMISA,BETULA,CAREX,CASTANEA,CUPRESACEA,FRAXINUS,GRAMINEAS,MERCURIALIS,MORUS,OLEA,PALMACEAS,PINUS,PLANTAGO,PLATANUS,POPULUS,AMARANTACEAS,QUERCUS,RUMEX,ULMUS,URTICACEAS
175,Macarena-Hospital,Sevilla,2010-06-27,0,0,0,0,0,0,11,0,11,0,0,22,0,5,0,0,0,5,0,0,0,0
176,Macarena-Hospital,Sevilla,2010-06-28,0,0,0,0,0,0,0,0,16,0,0,5,0,0,0,0,0,11,0,0,0,0
177,Macarena-Hospital,Sevilla,2010-06-29,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Macarena-Hospital,Sevilla,2010-06-30,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0
179,Macarena-Hospital,Sevilla,2010-07-01,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,11,0,0,0,0
180,Macarena-Hospital,Sevilla,2010-07-02,0,0,0,0,0,0,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5
181,Macarena-Hospital,Sevilla,2010-07-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
182,Macarena-Hospital,Sevilla,2010-07-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
183,Macarena-Hospital,Sevilla,2010-07-05,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,5,0,0,0,0
184,Macarena-Hospital,Sevilla,2010-07-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
185,Macarena-Hospital,Sevilla,2010-07-07,0,0,0,0,0,0,0,0,11,0,0,5,0,0,0,0,0,0,0,0,0,0
186,Macarena-Hospital,Sevilla,2010-07-08,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,5,0,0,0,0
187,Macarena-Hospital,Sevilla,2010-07-09,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,5,0,0,0,0
188,Macarena-Hospital,Sevilla,2010-07-10,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,11,0,0,0,0
189,Macarena-Hospital,Sevilla,2010-07-12,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Macarena-Hospital,Sevilla,2010-07-13,0,0,0,0,0,0,0,0,16,0,0,11,0,0,0,0,0,0,0,0,0,0
191,Macarena-Hospital,Sevilla,2010-07-14,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Macarena-Hospital,Sevilla,2010-07-15,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
